#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
Chaperone protein HtpG	5	6	4	4	5.5	4
SSU ribosomal protein S12p (S23e)	4	5	2	6	4.5	4
LSU ribosomal protein L10p (P0)	10	8	3	5	9	4
LSU ribosomal protein L15p (L27Ae)	2	5	4	4	3.5	4
LSU ribosomal protein L17p	4	0	5	3	2	4
LSU ribosomal protein L4p (L1e)	2	4	2	6	3	4
LSU ribosomal protein L7/L12 (P1/P2)	3	6	4	4	4.5	4
Translation elongation factor 1 alpha subunit	1	0	5	3	0.5	4
Translation initiation factor 1	5	4	5	3	4.5	4
Two-component system response regulator	17	21	4	4	19	4
Thiol:disulfide oxidoreductase related to ResA	1	2	6	2	1.5	4
Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB	5	6	4	4	5.5	4
Carbon monoxide dehydrogenase medium chain (EC 1.2.99.2)	1	3	4	4	2	4
tungsten-containing formate dehydrogenase alpha subunit	1	5	5	3	3	4
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	10	8	1	7	9	4
putative Cytochrome bd2, subunit II	6	5	4	4	5.5	4
ATP-dependent RNA helicase RhlE	9	15	5	3	12	4
tRNA pseudouridine 13 synthase (EC 4.2.1.-)	5	2	2	6	3.5	4
HflC protein	9	5	5	3	7	4
Non-specific DNA-binding protein Dps	3	5	3	5	4	4
Regulatory sensor-transducer, BlaR1/MecR1 family	7	3	3	5	5	4
RND efflux system, outer membrane lipoprotein CmeC	6	7	6	2	6.5	4
Serine--glyoxylate aminotransferase (EC 2.6.1.45)	1	1	2	5	1	3.5
Aspartate racemase (EC 5.1.1.13)	4	5	4	3	4.5	3.5
NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	5	2	4	3	3.5	3.5
NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)	1	2	4	3	1.5	3.5
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	4	5	4	3	4.5	3.5
2-isopropylmalate synthase (EC 2.3.3.13)	4	5	4	3	4.5	3.5
Shikimate kinase I (EC 2.7.1.71)	8	4	2	5	6	3.5
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)	5	4	2	5	4.5	3.5
D-serine/D-alanine/glycine transporter	2	2	4	3	2	3.5
L-threonine 3-dehydrogenase (EC 1.1.1.103)	3	5	5	2	4	3.5
Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	6	6	3	4	6	3.5
Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)	0	1	5	2	0.5	3.5
Aminodeoxychorismate lyase (EC 4.1.3.38)	4	5	3	4	4.5	3.5
Anthranilate synthase, aminase component (EC 4.1.3.27)	10	9	3	4	9.5	3.5
Indole-3-glycerol phosphate synthase (EC 4.1.1.48)	8	7	2	5	7.5	3.5
PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	0	1	4	3	0.5	3.5
2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal type (EC 5.4.2.1)	0	1	5	2	0.5	3.5
Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	6	4	3	4	5	3.5
Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	2	2	4	3	2	3.5
Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF	1	2	4	3	1.5	3.5
rhamnogalacturonan acetylesterase	2	2	4	3	2	3.5
2-methylcitrate dehydratase (EC 4.2.1.79)	4	3	4	3	3.5	3.5
Chromosome (plasmid) partitioning protein ParB	10	7	4	3	8.5	3.5
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	5	4	3	4	4.5	3.5
Lipid A export ATP-binding/permease protein MsbA	7	7	4	3	7	3.5
Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	3	1	6	1	2	3.5
Glycine oxidase ThiO (EC 1.4.3.19)	1	3	4	3	2	3.5
Hydroxymethylpyrimidine ABC transporter, substrate-binding component	2	1	2	5	1.5	3.5
Pantoate--beta-alanine ligase (EC 6.3.2.1)	7	8	4	3	7.5	3.5
Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	3	5	4	3	4	3.5
Folylpolyglutamate synthase (EC 6.3.2.17)	6	4	1	6	5	3.5
LSU m3Psi1915 methyltransferase RlmH	5	2	2	5	3.5	3.5
Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	4	5	1	6	4.5	3.5
DNA topoisomerase VI subunit B (EC 5.99.1.3)	0	0	4	3	0	3.5
Replicative DNA helicase (DnaB) (EC 3.6.4.12)	7	7	4	3	7	3.5
3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	6	9	4	3	7.5	3.5
Phosphate:acyl-ACP acyltransferase PlsX	4	5	4	3	4.5	3.5
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	9	5	3	4	7	3.5
3-methylmercaptopropionyl-CoA ligase (DmdB)	2	2	4	3	2	3.5
Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	1	0	4	3	0.5	3.5
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	4	4	4	3	4	3.5
Uncharacterized protein ImpJ/VasE	3	3	4	3	3	3.5
TPR domain protein, putative component of TonB system	12	15	3	4	13.5	3.5
tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)	7	7	4	3	7	3.5
Positive regulator of CheA protein activity (CheW)	4	3	3	4	3.5	3.5
Periplasmic nitrate reductase precursor (EC 1.7.99.4)	2	2	4	3	2	3.5
Respiratory nitrate reductase beta chain (EC 1.7.99.4)	3	5	4	3	4	3.5
Manganese superoxide dismutase (EC 1.15.1.1)	2	3	3	4	2.5	3.5
Dihydropyrimidine dehydrogenase [NADP+] (EC 1.3.1.2)	2	3	4	3	2.5	3.5
Adenine phosphoribosyltransferase (EC 2.4.2.7)	2	3	4	3	2.5	3.5
Adenylate kinase (EC 2.7.4.3)	3	3	3	4	3	3.5
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	6	6	4	3	6	3.5
Phosphate transport regulator (distant homolog of PhoU)	6	2	1	6	4	3.5
Cobalt-zinc-cadmium resistance protein	4	4	3	4	4	3.5
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	4	2	4	3	3	3.5
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6)	5	5	4	3	5	3.5
Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	6	5	4	3	5.5	3.5
Lysyl-tRNA synthetase (class I) (EC 6.1.1.6)	2	3	5	2	2.5	3.5
Lipoprotein signal peptidase (EC 3.4.23.36)	5	2	5	2	3.5	3.5
Heat shock protein GrpE	4	2	2	5	3	3.5
ATP-dependent Clp protease, ATP-binding subunit ClpC	1	2	2	5	1.5	3.5
Ribonuclease E (EC 3.1.26.12)	2	3	3	4	2.5	3.5
LSU ribosomal protein L11p (L12e)	3	2	2	5	2.5	3.5
LSU ribosomal protein L14p (L23e)	5	4	3	4	4.5	3.5
LSU ribosomal protein L20p	4	5	4	3	4.5	3.5
LSU ribosomal protein L25p	4	7	3	4	5.5	3.5
LSU ribosomal protein L9p	6	5	3	4	5.5	3.5
SSU ribosomal protein S10p (S20e)	4	6	3	4	5	3.5
Signal peptidase I (EC 3.4.21.89)	7	9	4	3	8	3.5
Ribosome-binding factor A	5	4	3	4	4.5	3.5
Eukaryotic translation initiation factor 2 gamma subunit	1	0	4	3	0.5	3.5
GTP-binding protein EngA	5	6	3	4	5.5	3.5
GTPase and tRNA-U34 5-formylation enzyme TrmE	6	6	4	3	6	3.5
Two-component nitrogen fixation transcriptional regulator FixJ	4	3	3	4	3.5	3.5
Arsenate reductase (EC 1.20.4.1)	6	5	4	3	5.5	3.5
ABC transporter involved in cytochrome c biogenesis, CcmB subunit	4	4	3	4	4	3.5
Cytochrome oxidase biogenesis protein Surf1, facilitates heme A insertion	4	5	4	3	4.5	3.5
Ferredoxin--NADP(+) reductase (EC 1.18.1.2)	3	1	3	4	2	3.5
carbon monoxide dehydrogenase E protein	2	0	4	3	1	3.5
Quinone oxidoreductase (EC 1.6.5.5)	6	6	4	3	6	3.5
Cytochrome c oxidase (B(O/a)3-type) chain I (EC 1.9.3.1)	3	6	2	5	4.5	3.5
TsaC protein (YrdC domain) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA	5	3	2	5	4	3.5
Stringent starvation protein A	2	3	4	3	2.5	3.5
Outer membrane component of tripartite multidrug resistance system	3	1	4	3	2	3.5
Protein YidD	2	3	4	3	2.5	3.5
Cysteine desulfurase (EC 2.8.1.7), NifS subfamily	1	1	2	4	1	3
Agmatinase (EC 3.5.3.11)	1	1	3	3	1	3
Tryptophan 2-monooxygenase (EC 1.13.12.3)	2	2	4	2	2	3
(R)-citramalate synthase (EC 2.3.1.182)	2	1	4	2	1.5	3
Chorismate mutase I (EC 5.4.99.5)	1	1	3	3	1	3
N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	1	1	3	3	1	3
Cysteine synthase B (EC 2.5.1.47)	9	5	4	2	7	3
Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	3	4	3	3	3.5	3
Sulfate and thiosulfate binding protein CysP	2	4	3	3	3	3
Sulfate permease, Trk-type	3	2	3	3	2.5	3
Glutamine synthetase type III, GlnN (EC 6.3.1.2)	3	4	5	1	3.5	3
Histidinol-phosphatase (EC 3.1.3.15)	6	6	4	2	6	3
Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	3	2	2	4	2.5	3
Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	1	1	4	2	1	3
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	6	5	4	2	5.5	3
Sensory subunit of low CO2-induced protein complex, putative	2	2	4	2	2	3
ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	1	1	4	2	1	3
Urease accessory protein UreG	2	2	3	3	2	3
Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	4	3	3	3	3.5	3
D-glycerate 2-kinase (EC 2.7.1.-)	2	2	5	1	2	3
Gluconokinase (EC 2.7.1.12)	8	8	3	3	8	3
Rhamnogalacturonides degradation protein RhiN	4	6	4	2	5	3
Mannose-6-phosphate isomerase (EC 5.3.1.8)	2	1	3	3	1.5	3
Thymidylate synthase (EC 2.1.1.45)	10	7	3	3	8.5	3
Alpha-galactosidase (EC 3.2.1.22)	1	4	4	2	2.5	3
Fructokinase (EC 2.7.1.4)	4	7	3	3	5.5	3
Galactokinase (EC 2.7.1.6)	4	3	3	3	3.5	3
Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	1	1	3	3	1	3
Inosose dehydratase (EC 4.2.1.44)	3	4	3	3	3.5	3
Arabinan endo-1,5-alpha-L-arabinosidase (EC 3.2.1.99)	3	2	4	2	2.5	3
Maltose/maltodextrin ABC transporter, permease protein MalG	1	1	3	3	1	3
Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	7	5	3	3	6	3
Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18)	5	2	3	3	3.5	3
NAD-dependent protein deacetylase of SIR2 family	6	7	3	3	6.5	3
Segregation and condensation protein A	6	4	3	3	5	3
GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	2	3	3	3	2.5	3
Tyrosine-protein kinase Wzc (EC 2.7.10.2)	6	10	2	4	8	3
UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	3	4	4	2	3.5	3
L-alanine-DL-glutamate epimerase	3	1	2	4	2	3
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	6	6	4	2	6	3
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	6	5	1	5	5.5	3
Aerobic cobaltochelatase CobS subunit (EC 6.6.1.2)	5	4	3	3	4.5	3
Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	4	4	5	1	4	3
Biotin synthase (EC 2.8.1.6)	6	5	2	4	5.5	3
Protoporphyrin IX Mg-chelatase subunit I (EC 6.6.1.1)	1	2	3	3	1.5	3
Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	12	8	1	5	10	3
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	9	5	2	4	7	3
Dimethylhistidine N-methyltransferase (EC 2.1.1.44)	2	3	3	3	2.5	3
Iron-sulfur cluster regulator IscR	2	1	3	3	1.5	3
O-succinylbenzoate synthase (EC 4.2.1.113)	1	3	3	3	2	3
C-terminal domain of CinA type S	4	4	3	3	4	3
Homogentisate 1,2-dioxygenase (EC 1.13.11.5)	7	8	2	4	7.5	3
glutamyl-Q-tRNA synthetase	5	6	2	4	5.5	3
FMN adenylyltransferase (EC 2.7.7.2)	5	6	2	4	5.5	3
tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)	9	7	1	5	8	3
DNA polymerase IV (EC 2.7.7.7)	3	3	2	4	3	3
DNA polymerase-like protein PA0670	4	4	4	2	4	3
Holliday junction DNA helicase RuvA	6	4	3	3	5	3
Peptidyl-tRNA hydrolase (EC 3.1.1.29)	4	2	2	4	3	3
Phytoene dehydrogenase and related proteins	1	1	4	2	1	3
4'-phosphopantetheinyl transferase (EC 2.7.8.-)	3	4	3	3	3.5	3
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)	11	10	3	3	10.5	3
Protein export cytoplasm chaperone protein (SecB, maintains protein to be exported in unfolded state)	4	1	3	3	2.5	3
Predicted secretion system X protein GspD-like	1	1	3	3	1	3
Uncharacterized protein ImpH/VasB	2	1	3	3	1.5	3
Peptidoglycan-associated lipoprotein precursor	1	2	3	3	1.5	3
Type IV fimbrial biogenesis protein FimT	4	1	2	4	2.5	3
Type IV fimbrial biogenesis protein PilY1	8	6	4	2	7	3
Type II/IV secretion system secretin RcpA/CpaC, associated with Flp pilus assembly	4	3	3	3	3.5	3
4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)	0	1	2	4	0.5	3
Similar to non-heme chloroperoxidase, sll5080 homolog	1	2	4	2	1.5	3
ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit	6	4	3	3	5	3
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	1	1	3	3	1	3
Membrane-associated protein containing RNA-binding TRAM domain and ribonuclease PIN-domain, YacL B.subtilis ortholog	1	2	3	3	1.5	3
[Protein-PII] uridylyltransferase (EC 2.7.7.59)	4	2	3	3	3	3
Nitrous oxide reductase maturation protein NosD	3	2	4	2	2.5	3
Nitrate ABC transporter, nitrate-binding protein	4	3	3	3	3.5	3
Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)	12	11	2	4	11.5	3
Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	7	8	4	2	7.5	3
Nucleoside diphosphate kinase (EC 2.7.4.6)	4	6	3	3	5	3
Pyrophosphate-specific outer membrane porin OprO	8	7	2	4	7.5	3
Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)	7	6	3	3	6.5	3
Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	4	3	5	1	3.5	3
Peptide chain release factor 2	5	3	2	4	4	3
Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	2	1	3	3	1.5	3
Ribosomal subunit interface protein	5	5	2	4	5	3
Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	6	4	3	3	5	3
LSU ribosomal protein L24p (L26e)	3	5	2	4	4	3
LSU ribosomal protein L6p (L9e)	3	4	4	2	3.5	3
SSU ribosomal protein S11p (S14e)	3	5	4	2	4	3
SSU ribosomal protein S13p (S18e)	6	10	2	4	8	3
SSU ribosomal protein S17p (S11e)	3	2	1	5	2.5	3
Predicted signal-transduction protein containing cAMP-binding and CBS domains	2	1	1	5	1.5	3
Polysulfide reductase, subunit C, putative	1	1	4	2	1	3
Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation	7	6	3	3	6.5	3
Cytochrome c oxidase subunit CcoO (EC 1.9.3.1)	5	4	3	3	4.5	3
Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	3	3	2	4	3	3
Succinate dehydrogenase cytochrome b-556 subunit	3	3	2	4	3	3
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	4	5	0	6	4.5	3
Probable cytochrome c-552	1	1	3	3	1	3
Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	2	2	2	4	2	3
Cytochrome c oxidase (B(O/a)3-type) chain II (EC 1.9.3.1)	1	3	3	3	2	3
Ribonuclease HI (EC 3.1.26.4)	5	4	3	3	4.5	3
Regulator of nucleoside diphosphate kinase	5	2	3	3	3.5	3
Transcription elongation factor GreB	6	8	2	4	7	3
Transcription termination protein NusB	3	5	3	3	4	3
Dihydroflavonol-4-reductase (EC 1.1.1.219)	2	4	2	4	3	3
Carbon starvation protein A	6	6	3	3	6	3
Glutathione reductase (EC 1.8.1.7)	7	7	1	5	7	3
Putative SigmaB asociated two-component system sensor protein	1	1	4	2	1	3
Beta-lactamase class A	2	2	3	3	2	3
Metal-dependent hydrolases of the beta-lactamase superfamily I	5	5	3	3	5	3
DNA-binding heavy metal response regulator	1	1	3	3	1	3
CopG protein	3	1	5	1	2	3
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	2	4	2	3	3	2.5
L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	0	2	3	2	1	2.5
2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	7	6	2	3	6.5	2.5
Arginase (EC 3.5.3.1)	3	2	4	1	2.5	2.5
N-acetylglutamate synthase (EC 2.3.1.1)	2	1	4	1	1.5	2.5
Tryptophanase (EC 4.1.99.1)	1	3	2	3	2	2.5
Phenylacetate-coenzyme A ligase (EC 6.2.1.30)	1	1	3	2	1	2.5
Electron transfer flavoprotein, beta subunit	5	5	2	3	5	2.5
Methylglutaconyl-CoA hydratase (EC 4.2.1.18)	3	3	2	3	3	2.5
Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)	7	3	4	1	5	2.5
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	2	4	3	2	3	2.5
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	3	2	3	2	2.5	2.5
Prephenate dehydratase (EC 4.2.1.51)	3	5	2	3	4	2.5
Regulatory protein of benzoate catabolism	2	1	3	2	1.5	2.5
N-methylhydantoinase A (EC 3.5.2.14)	2	3	2	3	2.5	2.5
N-methylhydantoinase B (EC 3.5.2.14)	2	3	3	2	2.5	2.5
Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)	4	2	2	3	3	2.5
Sulfate transport system permease protein CysW	3	5	3	2	4	2.5
Monoamine oxidase (1.4.3.4)	1	0	2	3	0.5	2.5
ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)	1	1	2	3	1	2.5
Acetoacetyl-CoA reductase (EC 1.1.1.36)	4	4	3	2	4	2.5
Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)	6	6	2	3	6	2.5
Methionine ABC transporter ATP-binding protein	7	8	2	3	7.5	2.5
Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)	0	1	5	0	0.5	2.5
Ketoglutarate semialdehyde dehydrogenase (EC 1.2.1.26)	3	4	3	2	3.5	2.5
5-aminolevulinate synthase (EC 2.3.1.37)	5	4	1	4	4.5	2.5
Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	6	5	2	3	5.5	2.5
Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	1	1	2	3	1	2.5
Hypothetical transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog	1	5	2	3	3	2.5
Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	4	3	3	2	3.5	2.5
Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	4	3	1	4	3.5	2.5
Galactonate dehydratase (EC 4.2.1.6)	4	4	3	2	4	2.5
Hexuronate transporter	6	7	3	2	6.5	2.5
Pyruvate oxidase (EC 1.2.3.3)	2	2	3	2	2	2.5
Predicted regulator of fructose utilization, DeoR family	0	1	3	2	0.5	2.5
Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	1	1	3	2	1	2.5
Glyoxylate reductase (EC 1.1.1.26)	0	0	3	2	0	2.5
Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	3	3	3	2	3	2.5
L-arabonate dehydratase (EC 4.2.1.25)	9	7	3	2	8	2.5
Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF	4	5	3	2	4.5	2.5
Maltose/maltodextrin ABC transporter, permease protein MalF	1	3	3	2	2	2.5
Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	1	1	1	4	1	2.5
Neopullulanase (EC 3.2.1.135)	1	4	2	3	2.5	2.5
2-methylcitrate synthase (EC 2.3.3.5)	2	3	2	3	2.5	2.5
D-alanine aminotransferase (EC 2.6.1.21)	1	1	2	3	1	2.5
D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	3	4	0	5	3.5	2.5
Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	3	6	3	2	4.5	2.5
Septum site-determining protein MinD	2	3	2	3	2.5	2.5
Tyrosine-protein kinase EpsD (EC 2.7.10.2)	3	3	2	3	3	2.5
ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-)	7	4	3	2	5.5	2.5
COG3178: Predicted phosphotransferase related to Ser/Thr protein kinases	6	4	2	3	5	2.5
NAD(P)HX dehydratase	5	6	2	3	5.5	2.5
Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	4	4	3	2	4	2.5
Vitamin B12 ABC transporter, permease component BtuC	2	0	2	3	1	2.5
Substrate-specific component BioY of biotin ECF transporter	1	1	3	2	1	2.5
Hydroxymethylpyrimidine ABC transporter, ATPase component	1	0	3	2	0.5	2.5
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	2	3	2	3	2.5	2.5
Phosphopantothenate synthetase, archaeal	0	0	3	2	0	2.5
7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 2	2	2	1	4	2	2.5
Glutamyl-tRNA synthetase (EC 6.1.1.17)	2	5	2	3	3.5	2.5
Porphobilinogen synthase (EC 4.2.1.24)	6	7	2	3	6.5	2.5
ergothioneine biosynthesis protein EgtB	0	1	4	1	0.5	2.5
Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB	10	8	1	4	9	2.5
probable iron binding protein from the HesB_IscA_SufA family	2	2	3	2	2	2.5
Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)	3	1	3	2	2	2.5
Dihydropteroate synthase (EC 2.5.1.15)	7	5	3	2	6	2.5
FolM Alternative dihydrofolate reductase 1	7	4	2	3	5.5	2.5
Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)	3	4	2	3	3.5	2.5
Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)	4	4	2	3	4	2.5
Periplasmic aromatic aldehyde oxidoreductase, FAD binding subunit YagS	4	4	2	3	4	2.5
Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	4	5	2	3	4.5	2.5
Maleylacetoacetate isomerase (EC 5.2.1.2)	7	2	2	3	4.5	2.5
S-formylglutathione hydrolase (EC 3.1.2.12)	4	3	3	2	3.5	2.5
Uracil-DNA glycosylase, family 1	6	5	3	2	5.5	2.5
Endonuclease V (EC 3.1.21.7)	0	0	3	2	0	2.5
G:T/U mismatch-specific uracil/thymine DNA-glycosylase	2	1	2	3	1.5	2.5
SOS-response repressor and protease LexA (EC 3.4.21.88)	10	9	2	3	9.5	2.5
DinG family ATP-dependent helicase YoaA	5	4	2	3	4.5	2.5
Excinuclease ABC subunit A, dimeric form	2	1	2	3	1.5	2.5
DNA polymerase III delta prime subunit (EC 2.7.7.7)	2	2	2	3	2	2.5
Type III restriction-modification system methylation subunit (EC 2.1.1.72)	4	5	2	3	4.5	2.5
Putative deoxyribonuclease YcfH	1	2	3	2	1.5	2.5
3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	8	6	2	3	7	2.5
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	5	8	2	3	6.5	2.5
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	6	5	1	4	5.5	2.5
Ferric iron ABC transporter, ATP-binding protein	2	3	2	3	2.5	2.5
Ferrichrome-iron receptor	5	3	2	3	4	2.5
Uncharacterized protein ImpA	2	1	4	1	1.5	2.5
4-hydroxybenzoyl-CoA thioesterase family active site	5	5	4	1	5	2.5
TolA protein	5	2	2	3	3.5	2.5
TPR repeat containing exported protein	2	4	2	3	3	2.5
Type IV fimbrial assembly, ATPase PilB	3	3	2	3	3	2.5
Benzoate 1,2-dioxygenase (EC 1.14.12.10)	1	0	2	3	0.5	2.5
Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	0	1	4	1	0.5	2.5
COG2110, Macro domain, possibly ADP-ribose binding module	2	2	2	3	2	2.5
DUF124 domain-containing protein	3	5	1	4	4	2.5
Putative oxidoreductase YncB	2	2	2	3	2	2.5
tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)	9	4	2	3	6.5	2.5
LSU ribosomal protein L21p	6	2	3	2	4	2.5
LSU ribosomal protein L27p	3	4	1	4	3.5	2.5
Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)	7	8	2	3	7.5	2.5
ATP synthase epsilon chain (EC 3.6.3.14)	3	2	2	3	2.5	2.5
Chemotaxis protein CheC -- inhibitor of MCP methylation	0	2	3	2	1	2.5
Cell division protein FtsX	3	0	3	2	1.5	2.5
Flagellar biosynthesis protein FlhA	8	5	2	3	6.5	2.5
Flagellar hook-associated protein FliD	5	4	3	2	4.5	2.5
Copper-containing nitrite reductase (EC 1.7.2.1)	4	3	1	4	3.5	2.5
Cytochrome c nitrite reductase, small subunit NrfH	1	0	3	2	0.5	2.5
Possible pyrimidine permease in reductive pathway	0	1	2	3	0.5	2.5
Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	3	3	2	3	3	2.5
Nucleotide pyrophosphatase (EC 3.6.1.9)	3	4	2	3	3.5	2.5
Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	1	1	2	3	1	2.5
Ribonucleotide reductase transcriptional regulator NrdR	1	1	2	3	1	2.5
Apolipoprotein N-acyltransferase (EC 2.3.1.-)	3	4	4	1	3.5	2.5
Sodium-dependent phosphate transporter	1	4	2	3	2.5	2.5
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6)	0	1	2	3	0.5	2.5
intein-containing	5	4	2	3	4.5	2.5
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	5	2	3	2	3.5	2.5
Foldase protein PrsA precursor (EC 5.2.1.8)	0	1	2	3	0.5	2.5
Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase	3	2	5	0	2.5	2.5
Superoxide dismutase [Fe] (EC 1.15.1.1)	4	2	2	3	3	2.5
